<Población>,<n nodos>,<n arcos>,<Longitud total arcos>,<X pares>,<Y impares>
('Calzada de Calatrava', 216, 584, 213706.38700000002, 0, 0)
('Villarta de San Juan', 220, 599, 61566.83700000004, 0, 220)
('Puertollano', 1529, 4183, 463667.39300000033, 1526, 0)
('Torrenueva', 144, 427, 53468.20199999999, 0, 0)
('Albaladejo', 139, 384, 26694.532000000014, 139, 0)
('Saceruela', 63, 177, 53032.02600000001, 63, 1)
('San Lorenzo de Calatrava', 51, 126, 21191.331999999988, 0, 0)
('Campo de Criptana', 743, 1828, 178601.3660000002, 0, 743)
('Navalpino', 51, 134, 12020.191999999995, 51, 51)
('Guadalmez', 68, 182, 34170.80699999999, 68, 0)
('Membrilla', 335, 1034, 133040.81699999992, 0, 0)
('Valenzuela de Calatrava', 103, 314, 20660.472000000005, 0, 0)
('Almadenejos', 89, 256, 64012.14199999995, 89, 0)
('Pedro Muñoz', 645, 1783, 171124.64200000028, 645, 645)
('Almedina', 83, 222, 39011.27300000002, 82, 0)
('Porzuna', 344, 952, 370416.2440000001, 344, 344)
('Fuencaliente', 55, 152, 36439.66699999997, 55, 0)
('Villamayor de Calatrava', 91, 260, 70364.37099999996, 91, 0)
('Picón', 83, 242, 30445.743999999988, 83, 83)
('Puerto Lápice', 188, 446, 69963.14300000004, 0, 188)
('Solana del Pino', 79, 190, 87428.27599999995, 79, 0)
('Brazatortas', 112, 292, 62357.09499999995, 112, 0)
('Almuradiel', 152, 338, 93992.78700000007, 0, 0)
('Fernán Caballero', 179, 418, 96907.93699999996, 1, 179)
('Poblete', 209, 536, 53367.85099999997, 1, 0)
('Valdepeñas', 1520, 3268, 547027.1010000005, 0, 0)
('Torralba de Calatrava', 302, 823, 114634.88299999986, 0, 301)
('Fontanarejo', 27, 70, 11377.712000000007, 27, 27)
('Granátula de Calatrava', 111, 256, 51510.125999999975, 0, 0)
('Caracuel de Calatrava', 33, 76, 13482.509000000004, 33, 0)
('Fuente el Fresno', 163, 452, 67442.37100000001, 0, 163)
('Arenales de San Gregorio', 121, 352, 27797.140999999985, 0, 121)
('Los Pozuelos de Calatrava', 43, 116, 40893.92599999997, 43, 0)
('Santa Cruz de Mudela', 329, 872, 156325.3579999999, 0, 0)
('Alcázar de San Juan', 1449, 3146, 442929.9659999999, 0, 1449)
('La Solana', 900, 2742, 244586.6519999997, 0, 0)
('Villahermosa', 199, 556, 110795.2480000003, 199, 0)
('Puebla del Príncipe', 167, 467, 44706.16699999999, 167, 0)
('Torre de Juan Abad', 123, 362, 82367.60400000006, 0, 0)
('Almagro', 525, 1303, 173146.31699999995, 0, 0)
('Moral de Calatrava', 352, 1051, 202201.5359999999, 0, 0)
